@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,1.0,39,207,true,8,0.07407407407407407,0.0,false,true,true,true,false,8,1.0,0.09949684964416844,0.07272727272727272,8.612483568287929E-4,4.532886088572594E-4,0.0157291147273469,0.007071302298173247,8.612483568287929E-4,0.09863560128733966,0.0,8.612483568287929E-4,0.0,36,0.0,0.027777777777777776,0.2777777777777778,0.027777777777777776,refactored
2,0,true,false,1.0,39,207,true,8,0.07407407407407407,0.0,false,true,true,true,false,8,1.0,0.09949684964416844,0.07272727272727272,8.612483568287929E-4,4.532886088572594E-4,0.0157291147273469,0.007071302298173247,8.612483568287929E-4,0.09863560128733966,0.0,8.612483568287929E-4,0.0,36,0.0,0.027777777777777776,0.2777777777777778,0.027777777777777776,refactored
2,0,true,true,0.5897435897435898,23,132,true,5,0.0,0.0,true,true,true,true,false,8,1.0,0.09949684964416844,0.07272727272727272,8.612483568287929E-4,4.532886088572594E-4,0.0157291147273469,0.007071302298173247,8.612483568287929E-4,0.09863560128733966,0.0,8.612483568287929E-4,0.0,12,0.0,0.08333333333333333,0.16666666666666666,0.0,refactored
2,0,true,true,0.5897435897435898,23,132,true,5,0.0,0.0,true,true,true,true,false,8,1.0,0.09949684964416844,0.07272727272727272,8.612483568287929E-4,4.532886088572594E-4,0.0157291147273469,0.007071302298173247,8.612483568287929E-4,0.09863560128733966,0.0,8.612483568287929E-4,0.0,12,0.0,0.08333333333333333,0.16666666666666666,0.0,refactored
3,3,true,false,1.0,33,213,true,3,0.4583333333333333,0.0,false,true,true,false,true,5,1.0,0.10004079597479715,0.06363636363636363,0.003807624314400979,0.0014051946874575041,0.01128688636054576,0.00435157064502969,0.003807624314400979,0.09623317166039617,0.0,0.0,0.003807624314400979,30,0.3333333333333333,0.03333333333333333,0.36666666666666664,0.03333333333333333,refactored
4,0,true,false,1.0,26,164,true,6,0.05263157894736842,0.0,false,false,false,false,false,7,1.0,0.0054847921671728386,0.0,0.0,0.0,0.001495852409228956,4.0795974797153345E-4,0.0,0.005439463306287113,4.5328860885725944E-5,0.0,0.0,60,1.0,0.05,0.3,0.016666666666666666,refactored
3,0,true,false,1.0,24,152,true,8,0.047619047619047616,0.0,false,false,false,false,false,5,1.0,0.0054847921671728386,0.0,0.0,0.0,0.001495852409228956,4.0795974797153345E-4,0.0,0.0054847921671728386,0.0,0.0,0.0,0,-1,-1,-1,-1,refactored
3,0,true,false,0.4166666666666667,10,67,true,3,0.125,0.0,false,false,false,false,false,4,1.0,0.0054847921671728386,0.0,0.0,0.0,0.001495852409228956,4.0795974797153345E-4,0.0,0.0054847921671728386,0.0,0.0,0.0,0,-1,-1,-1,-1,refactored
8,391,true,false,1.0,34,181,false,0,0.6521739130434783,0.0,false,true,true,false,true,3,1.0,0.001495852409228956,0.0,0.0,0.0,9.065772177145189E-5,4.5328860885725944E-5,0.0,0.001495852409228956,0.0,0.0,0.0,66,0.5606060606060606,0.015151515151515152,0.15151515151515152,0.0,refactored
2,8,true,false,1.0,33,198,false,0,0.6086956521739131,0.0,false,true,true,false,true,4,1.0,0.001495852409228956,0.0,0.0,0.0,9.065772177145189E-5,4.5328860885725944E-5,0.0,0.001495852409228956,0.0,0.0,0.0,19,0.0,0.0,0.21052631578947367,0.0,refactored
