@relation cloneEval

@attribute numInstance real
@attribute minLeveDis real
@attribute localOrClassFamily{true, false}
@attribute followControlStat {true, false}
@attribute numMonthOfFile real
@attribute numLineOfMethod real
@attribute sizeProForFragVsMethod real
@attribute numLineOfFrag real
@attribute numTokenOfFrag real
@attribute containControlBlock {true, false}
@attribute cycComplexity real
@attribute callPro real
@attribute arithPro real
@attribute beginControlStat {true, false}
@attribute sameFile {true, false}
@attribute samePkg {true, false}
@attribute sameMethod {true, false}
@attribute isTest {true, false}
@attribute globalVars real
@attribute treeDis real
@attribute numOfCommitFileExist real
@attribute numFileDistinctAuthor real
@attribute numOfCommitFileChange real
@attribute numOfCommitRecentFileChange real
@attribute numOfCommitFileOfSamePkgChange real
@attribute numOfCommitRecentFileOfSamePkgChange real
@attribute numOfCommitAllFragsChange real
@attribute numOfCommitNoFragChange real
@attribute numOfCommit1FragChange real
@attribute numOfCommit2FragsChange real
@attribute numOfCommit3FragsChange real
@attribute numTotalMultiset real
@attribute numParaMultiset real
@attribute numGappedMultiset real
@attribute numPartiallySameMultiset real
@attribute numCallDiffMultiset real
@attribute numVarDiffMultiset real
@attribute numTypeDiffMultiset real
@attribute cloneEval {refactored, unrefactored}

@data
2,0,true,false,0,31,1.0,31,173,true,5,0.1,0.0,false,true,true,true,false,8,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,27,17,10,0,0,7,0,refactored
2,0,true,false,0,31,1.0,31,173,true,5,0.1,0.0,false,true,true,true,false,8,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,27,17,10,0,0,7,0,refactored
2,0,true,true,0,34,0.6470588235294118,22,150,true,3,0.14285714285714285,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,21,12,9,0,0,3,0,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,18,10,8,0,4,1,0,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,18,10,8,0,4,1,0,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,18,10,8,0,4,1,0,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,18,10,8,0,4,1,0,refactored
2,0,true,true,0,107,0.21495327102803738,23,99,true,9,0.4,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,18,10,8,0,4,1,0,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,5,5,0,0,2,3,0,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,5,5,0,0,2,3,0,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,5,5,0,0,2,3,0,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,5,5,0,0,2,3,0,refactored
2,0,true,true,0,107,0.18691588785046728,20,96,true,8,0.23529411764705882,0.0,true,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,5,5,0,0,2,3,0,refactored
2,0,true,false,0,127,0.1968503937007874,25,76,true,4,0.3333333333333333,0.0,false,true,true,true,false,9,1.0,1.3418015922712228E-4,0.008928571428571428,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,8.94534394847482E-5,4.47267197423741E-5,0.0,8.94534394847482E-5,0.0,0,0,0,0,0,0,0,refactored
