unrefactor1,2444,3,23,5,234,58,23,2421,0,23,0
unrefactor2,14,2,5,4,11,4,1,74,14,1,0
unrefactor3,3,1,2,1,3,1,0,2144,114,0,0
unrefactor4,500,1,1,0,12,2,1,499,0,0,0
unrefactor5,857,1,1,0,328,67,1,856,0,1,0
unrefactor6,2444,3,20,5,1095,218,12,2418,14,12,0
unrefactor7,19,0,0,0,5,2,0,19,0,0,0
unrefactor8,2444,4,25,15,722,205,25,2419,0,25,0
unrefactor9,594,1,5,0,43,9,5,589,0,0,0
unrefactor10,602,3,5,0,186,39,5,597,0,5,0
unrefactor11,2444,6,27,10,448,110,27,2417,0,27,0
unrefactor12,3,1,2,1,3,1,0,2144,114,0,0
unrefactor13,21,0,0,0,1,0,0,2444,0,0,0
unrefactor14,2444,1,11,0,210,38,7,2427,10,7,0
unrefactor15,2067,0,0,0,501,78,0,2067,0,0,0
unrefactor16,2444,7,35,9,472,110,35,2409,0,35,0
unrefactor17,165,3,11,2,99,25,4,982,36,4,0
unrefactor18,2444,3,39,6,930,300,0,2405,39,0,0
unrefactor19,2047,4,14,2,924,214,14,2033,0,14,0
unrefactor20,2444,2,5,2,569,134,5,2439,0,5,0
unrefactor21,1040,3,6,0,132,21,2,1033,5,2,0
unrefactor22,1947,2,7,0,681,135,1,1938,8,1,0
unrefactor23,89,1,2,2,8,3,0,2442,2,0,0
unrefactor24,552,0,0,0,224,74,0,552,0,0,0
unrefactor25,444,1,11,1,157,22,11,433,0,11,0
unrefactor26,6,0,0,0,1,0,0,2443,1,0,0
unrefactor27,6,0,0,0,1,0,0,2439,5,0,0
unrefactor28,2,1,1,1,2,1,1,1,0,0,1
unrefactor29,2444,3,10,9,384,250,10,2434,0,10,0
unrefactor30,142,1,3,0,24,10,3,139,0,0,0
unrefactor31,2444,2,6,0,363,53,6,2438,0,0,6
unrefactor32,110,0,0,0,31,5,0,109,0,0,0
unrefactor33,1040,4,7,1,465,98,0,1033,7,0,0
unrefactor34,2444,3,19,4,1052,196,12,2419,13,12,0
unrefactor35,1194,2,11,1,561,155,11,1181,2,11,0
unrefactor36,219,0,0,0,76,12,0,219,0,0,0
unrefactor37,6,2,3,0,4,0,1,34,15,1,0
unrefactor38,1541,4,6,0,427,49,6,1535,0,6,0
unrefactor39,361,2,3,0,157,42,2,358,1,2,0
unrefactor40,912,2,3,0,95,28,3,909,0,0,0
unrefactor41,6,0,0,0,1,0,0,2444,0,0,0
unrefactor42,2444,3,18,8,592,195,18,2426,0,18,0
unrefactor43,103,1,5,0,44,14,0,96,8,0,0
unrefactor44,2444,4,18,4,955,140,12,2419,13,12,0
unrefactor45,2444,1,1,0,625,163,1,2443,0,1,0
unrefactor46,192,1,1,1,5,3,1,191,0,1,0
unrefactor47,891,5,19,11,336,63,19,872,0,19,0
unrefactor48,2444,1,1,0,267,52,1,2443,0,0,1
unrefactor49,1752,2,3,1,189,39,3,1749,0,3,0
unrefactor50,2444,0,0,0,338,56,0,2442,2,0,0
unrefactor51,2444,5,21,3,305,58,2,2422,20,2,0
unrefactor52,6,0,0,0,1,0,0,2444,0,0,0
unrefactor53,2444,7,22,5,683,127,22,2422,0,22,0
unrefactor54,1598,5,13,5,448,51,13,1585,0,13,0
unrefactor55,33,0,0,0,13,7,0,33,0,0,0
unrefactor56,805,2,6,0,182,35,6,797,2,6,0
unrefactor57,23,1,4,1,10,1,3,19,0,1,3
unrefactor58,2444,3,3,2,438,233,3,2441,0,3,0
unrefactor59,1,0,0,0,1,1,0,166,0,0,0
unrefactor60,2444,11,50,14,540,158,50,2394,0,50,0
unrefactor61,1031,2,21,6,305,80,21,1010,0,21,0
unrefactor62,2444,3,10,3,1117,272,10,2434,0,10,0
unrefactor63,15,0,0,0,6,3,0,15,0,0,0
unrefactor64,2444,1,1,1,406,41,1,2443,0,0,0
unrefactor65,2444,2,20,2,417,39,11,2415,18,11,0
